Name,Address,Longitude,Latitude,GettyID,Mental pro,Real Place,Observatio,TimeStamp,TimeSpan_b,TimeSpan_e
Ada Kaleh,Ada Kaleh,28.650158000000001,44.199302699999997,,,"1",,,,
Adjud,Adjud,27.166699999999999,46.116700000000002,"1050000",,"1",,,,
Adunați,Adunați,25.599325499999999,45.183557299999997,,,"1",,,,
Afumați,Afumați,26.249430300000000,44.524683000000003,,,"1",,,,
Aiud,Aiud,23.716699999999999,46.316699999999997,"1050002",,"1",,,,
Alba Iulia,Alba Iulia,23.550000000000001,46.066699999999997,"7004080",,"1",,,,
Albania,Albania,19.999961899999999,41.000028000000000,"2042117",,"1",,,,
Alexandria,Alexandria,29.894378000000000,31.199003999999999,"2002197",,"1",,,,
Amaradia,Amaradia,23.395756500000001,45.061954900000003,,,"1",,,,
Arămești,Arămești,26.818092100000001,46.779110000000003,,,"1",,,,
Ardeal,Ardeal,24.374029499999999,46.597162300000001,,,"1",,,,
Argeş,Argeş,24.833300000000001,45.000000000000000,"7002693",,"1",,,,
Armășești,Armășești,24.012286899999999,45.017170200000002,,,"1",,,,
Atena,Atena,23.730786875756003,37.992242046503648,"1043327",,"1",,,,
Athos,Athos,24.327258300000000,40.158420599999999,,,"1",,,,
Austerlitz,Austerlitz,16.867467987883863,49.181109381601630,,,"1",,,,
Austria,Austria,13.864866310968734,47.583634513010885,,,"1",,,,
Babadag,Babadag,28.783300000000001,44.883299999999998,"1050019",,"1",,,,
Babele,Babele,25.471581300000000,45.406577800000001,,,"1",,,,
Băbeni,Băbeni,24.226758619164251,44.970033200000003,,,"1",,,,
Bacău,Bacău,26.966699999999999,46.549999999999997,"7004053",,"1",,,,
Bahlui,Bahlui,27.733332999999998,47.133333000000000,"8711876",,"1",,,,
Baia,Baia,26.216985689400111,47.427408358398750,"7057200",,"1",,,,
Baia de Aramă,Baia de Aramă,22.800000000000001,45.000000000000000,"1050023",,"1",,,,
Băieșești,Băieșești,26.111146600000001,47.480237899999999,,,"1",,,,
Bulboaca,Bulboaca,27.778689700000001,46.550013100000001,,,"1",,,,
Balcani,Balcani,23.814655401592667,41.778633350000000,,,"1",,,,
Băleni,Băleni,27.847946199999999,45.807639899999998,,,"1",,,,
Balș,Balș,24.100000000000001,44.333300000000001,"1050024",,"1",,,,
Balta,Balta,22.634029568330170,44.899695030942851,,,"1",,,,
Dunăre,Dunăre,28.022085476854595,45.340586299999998,,,"1",,,,
Balta-Verde,Balta-Verde,23.801926399999999,44.262551600000002,,,"1",,,,
Băltăreţi,Băltăreţi,27.314987899999998,45.855408699999998,,,"1",,,,
Bălțătești,Bălțătești,26.309268700000001,47.125667000000000,,,"1",,,,
Bălusești,Bălusești,26.602060900000001,46.927491600000003,,,"1",,,,
Banat,Banat,24.632819336628845,47.463238207983089,,,"1",,,,
Băneasa,Băneasa,27.916699999999999,45.933300000000003,"1050018",,"1",,,,
Baranga,Baranga,25.729368800000000,44.723678499999998,,,"1",,,,
Bărboși,Bărboși,27.988272299999998,45.402058500000003,,,"1",,,,
Bârlad,Bârlad,27.668970000000002,46.227535000000003,"1121557",,"1",,,,
Bârlăzel,Bârlăzel,27.080174299999999,46.800413499999998,,,"1",,,,
Basarabia,Basarabia,28.500000000000000,47.000000000000000,"7012146",,"1",,,,
Bâtca,Bâtca,26.369504599999999,46.931989399999999,,,"1",,,,
Bavaria,Bavaria,11.820780772931968,50.293066504715490,,,"1",,,,
Bechet,Bechet,23.949999999999999,43.750000000000000,"1050029",,"1",,,,
Belgrad,Belgrad,20.461086987187691,44.823047715639866,"7210657",,"1",,,,
Beneşti,Beneşti,24.501214900000001,45.954978799999999,,,"1",,,,
Berheci,Berheci,27.437467800000000,45.974287699999998,,,"1",,,,
Bihor,Bihor,22.004146911738953,47.053742587329296,"1000344",,"1",Oradea,,,
Bîsca,Bîsca,26.337274099999998,45.453492300000001,,,"1",,,,
Bisericani,Bisericani,26.239187800000000,46.958093699999999,,,"1",,,,
Bisoca,Bisoca,26.706427000000001,45.542232599999998,,,"1",,,,
Bistrița,Bistrița,24.496394899999999,47.132701200000000,,,"1",,,,
Bocicoel,Bocicoel,24.319945799999999,47.697883699999998,,,"1",,,,
Bogdănești,Bogdănești,26.273864300000000,47.366711000000002,,,"1",,,,
Boldeşti-Scăeni,Boldeşti-Scăeni,26.030944099999999,45.031752800000000,,,"1",,,,
Bolintin,Bolintin,25.758435299999999,44.447487700000003,,,"1",,,,
Boroaia,Boroaia,26.338000099999999,47.349039500000003,,,"1",,,,
Borșa,Borșa,24.666699999999999,47.649999999999999,"1137040",,"1",,,,
Borzești,Borzești,23.612895900000002,46.539581300000002,,,"1",,,,
Bosfor,Bosfor,29.071860074930939,41.112525899999994,,,"1",,,,
Botești,Botești,25.137859800000001,45.010972099999996,,,"1",,,,
Botoşani,Botoşani,26.663543537499898,47.741949473262551,"1000349",,"1",,,,
Brădiceni,Brădiceni,23.079101800000000,45.058108699999998,,,"1",,,,
Brăhășești,Brăhășești,27.370145600000001,46.039917299999999,,,"1",,,,
Brăila,Brăila,27.666699999999999,45.083300000000001,"1000350",,"1",,,,
Bran,Bran,25.364975484147969,45.557101714331139,"7661524",,"1",,,,
Braniştea,Braniştea,27.834197199999998,45.436766499999997,,,"1",,,,
Braşov,Braşov,25.610274600000000,45.652309299999999,,,"1",,,,
Breaza,Breaza,25.668582000000001,45.181093400000002,,,"1",,,,
Brebu,Brebu,25.769462999999998,45.182520300000000,,,"1",,,,
Brețcu,Brețcu,26.302137099999999,46.044233599999998,,,"1",,,,
Bucegi,Bucegi,25.448600919245919,45.381881499999999,,,"1",,,,
Buciulești,Buciulești,26.619460000000000,46.797344400000000,,,"1",,,,
Bucovina,Bucovina,25.960137199999998,47.755111499999998,,,"1",,,,
București,București,26.083300000000001,44.500000000000000,"1000394",,"1",,,,
Budești,Budești,26.500000000000000,44.216700000000003,"1050049",,"1",,,,
Bugeac,Bugeac,29.000000000000000,46.250000000000000,"1110803",,"1",,,,
Buhalnița,Buhalnița,25.359156286678417,43.917883512895713,"1108842",,"1",,,,
Buila,Buila,25.359156286678417,43.917883512895713,"1108842",,"1",,,,
Bulgaria,Bulgaria,24.989833594094048,42.524824642596087,"7057731",,"1",,,,
Buliga,Buliga,25.359156286678417,43.917883512895713,"1108842",,"1",,,,
Rusciuc,Rusciuc,26.315814525901505,44.672346620030169,"7593868",,"1",,,,
Buzău,Buzău,26.816700000000001,45.149999999999999,"7004262",,"1",,,,
Câineni,Câineni,26.315814525901505,44.672346620030169,"7593868",,"1",,,,
Craiova,Craiova,23.783300000000001,44.299999999999997,"7003954",,"1",,,,
Calafat,Calafat,22.949999999999999,43.983300000000000,"1050065",,"1",,,,
Călărași,Călărași,27.366700000000002,44.200000000000003,"1050061",,"1",,,,
Căldăruşani,Căldăruşani,26.315814525901505,44.672346620030169,"7593868",,"1",,,,
Călimănești,Călimănești,24.333300000000001,45.233300000000000,"7004129",,"1",,,,
Călimani,Călimani,25.359156286678417,43.917883512895713,"1108842",,"1",,,,
Călniștea,Călniștea,25.359156286678417,43.917883512895713,"1108842",,"1",,,,
Calomfireșți,Calomfireșți,25.359156286678417,43.917883512895713,"1108842",,"1",,,,
Călugăreni,Călugăreni,25.983300000000000,44.183300000000003,"1050063",,"1",,,,
