Forest Name ,Address,Longitude,Latitude
Pădurea Ebraia,Băbeni,44.96963458668833,24.235347386643216
Pădurea Eforia Mologești,Oltețani,44.499835937239425,24.07015450539342
Pădurea Eforie_1,Peșteana-Jiu,44.861072714241224,23.308957260092253
Pădurea Eforie_2,Ursoaia,44.812725204165694,23.21375586298546
Pădurea Encioiu,Ciupercenii Noi,43.9003426292729,22.917307026848164
Pădurea Episcopia_1,Deveselu,44.05514733198016,24.391343503572934
Pădurea Episcopia_2,Mădulari,44.672373868078935,24.093231644966384
Pădurea Erciu,Peștișani,45.082896211415154,23.038701049071793
